run,N,goalX,goalY,obstDist
0,5,-4.0,4,3.333333333333333
1,5,-3.111111111111111,4,2.6666666666666665
2,5,-2.2222222222222223,4,2.4444444444444446
3,5,-1.3333333333333335,4,2.0
4,5,-0.44444444444444464,4,4.0
5,5,0.44444444444444464,4,3.5555555555555554
6,5,1.333333333333333,4,3.111111111111111
7,5,2.2222222222222214,4,3.7777777777777777
8,5,3.1111111111111107,4,2.888888888888889
9,5,4.0,4,2.2222222222222223
0,7,-4.0,4,3.333333333333333
1,7,-3.111111111111111,4,2.6666666666666665
2,7,-2.2222222222222223,4,2.4444444444444446
3,7,-1.3333333333333335,4,2.0
4,7,-0.44444444444444464,4,4.0
5,7,0.44444444444444464,4,3.5555555555555554
6,7,1.333333333333333,4,3.111111111111111
7,7,2.2222222222222214,4,3.7777777777777777
8,7,3.1111111111111107,4,2.888888888888889
9,7,4.0,4,2.2222222222222223
0,9,-4.0,4,3.333333333333333
1,9,-3.111111111111111,4,2.6666666666666665
2,9,-2.2222222222222223,4,2.4444444444444446
3,9,-1.3333333333333335,4,2.0
4,9,-0.44444444444444464,4,4.0
5,9,0.44444444444444464,4,3.5555555555555554
6,9,1.333333333333333,4,3.111111111111111
7,9,2.2222222222222214,4,3.7777777777777777
8,9,3.1111111111111107,4,2.888888888888889
9,9,4.0,4,2.2222222222222223
0,11,-4.0,4,3.333333333333333
1,11,-3.111111111111111,4,2.6666666666666665
2,11,-2.2222222222222223,4,2.4444444444444446
3,11,-1.3333333333333335,4,2.0
4,11,-0.44444444444444464,4,4.0
5,11,0.44444444444444464,4,3.5555555555555554
6,11,1.333333333333333,4,3.111111111111111
7,11,2.2222222222222214,4,3.7777777777777777
8,11,3.1111111111111107,4,2.888888888888889
9,11,4.0,4,2.2222222222222223
0,13,-4.0,4,3.333333333333333
1,13,-3.111111111111111,4,2.6666666666666665
2,13,-2.2222222222222223,4,2.4444444444444446
3,13,-1.3333333333333335,4,2.0
4,13,-0.44444444444444464,4,4.0
5,13,0.44444444444444464,4,3.5555555555555554
6,13,1.333333333333333,4,3.111111111111111
7,13,2.2222222222222214,4,3.7777777777777777
8,13,3.1111111111111107,4,2.888888888888889
9,13,4.0,4,2.2222222222222223
0,15,-4.0,4,3.333333333333333
1,15,-3.111111111111111,4,2.6666666666666665
2,15,-2.2222222222222223,4,2.4444444444444446
3,15,-1.3333333333333335,4,2.0
4,15,-0.44444444444444464,4,4.0
5,15,0.44444444444444464,4,3.5555555555555554
6,15,1.333333333333333,4,3.111111111111111
7,15,2.2222222222222214,4,3.7777777777777777
8,15,3.1111111111111107,4,2.888888888888889
9,15,4.0,4,2.2222222222222223
